[DeviceInfo-1] SerialNumber updated (direct match): 'LBNKIATNW235012345' → 'LBNKIASRC243920029'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1] DeriveSsbIndexFromCell updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1] Enable updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshCsiRsConsolidation-1] ThresholdRsrp updated (direct match): '127' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshCsiRsConsolidation-1] ThresholdRsrq updated (direct match): '127' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/MeasObject-1/MeasObjectNr-1/AbsThreshCsiRsConsolidation-1] ThresholdSinr updated (direct match): '127' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] AdjacentNRCellRef updated (direct match): '1' → '255'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] DirectForwardingPathAvailability updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] IsHOAllowed updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] IsRemoveAllowed updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] IsXnHOAllowed updated (direct match): 'false' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] SparePara1 updated (direct match): 'x' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] SparePara2 updated (direct match): 'x' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRCellRelation-1] SparePara3 updated (direct match): 'x' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1] CellReselectionPriority updated (direct match): '7' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1] CellReselectionSubPriority updated (direct match): 'odot8' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFreqRelation-1/OffsetMO-1] RsrpOffsetCsiRsn updated (direct match): 'DB24' → 'DB0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1] AbsoluteFrequencySSB updated (direct match): '2054168' → '631968'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NRFrequency-1/MultiFrequencyBandListNR-1] MultiFrequencyBandListNRValue updated (direct match): '1' → '78'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NrQosCfg-1] SdapHeaderUL updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/NrQosCfg-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/PlmnInfoList-1] MNC updated (direct match): '1' → '01'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/PlmnInfoList-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/PlmnInfoList-1/SNSSAI-1] SDn updated (direct match): '16777215' → '13714341'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigCell-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/QuantityConfigInfo-1/QuantityConfigNR-1/QuantityConfigCell-1] SparePara2 updated (direct match): 'x' → '123'
