Comparison Summary
Metric,Value
Total in Base Version,307
Total in Update Version,268
New Objects,60
Deprecated Objects,99

New Objects
Key,Class,DistName
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/SubCarrierCfg-1,com.nokia.aiosc:SubCarrierCfg,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DlCfgCmn-1/DlFreqInfo-1/SubCarrierCfg-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1,com.nokia.aiosc:NsCfgInfo,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsAddInfo-1,com.nokia.aiosc:NsAddInfo,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsAddInfo-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsAddInfo-1/NsiCellResCfg-1,com.nokia.aiosc:NsiCellResCfg,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsAddInfo-1/NsiCellResCfg-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToAct-1,com.nokia.aiosc:NsIdToAct,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToAct-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToDeAct-1,com.nokia.aiosc:NsIdToDeAct,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToDeAct-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToDel-1,com.nokia.aiosc:NsIdToDel,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsIdToDel-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsModInfo-1,com.nokia.aiosc:NsModInfo,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsModInfo-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsModInfo-1/NsiCellResCfgMod-1,com.nokia.aiosc:NsiCellResCfgMod,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/NsModInfo-1/NsiCellResCfgMod-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/ReslAddInfo-1,com.nokia.aiosc:ReslAddInfo,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/ReslAddInfo-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/ResourceModInfo-1,com.nokia.aiosc:ResourceModInfo,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/NsCfgInfo-1/ResourceModInfo-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UlCfgCmn-1/UlFreqInfo-1/MultiBandInfoUl-1/NrNsPmaxValUl-1,com.nokia.aiosc:NrNsPmaxValUl,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UlCfgCmn-1/UlFreqInfo-1/MultiBandInfoUl-1/NrNsPmaxValUl-1
Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UrllcCfg-1,com.nokia.aiosc:UrllcCfg,PLMN-PLMN/AIOSC-1/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/UrllcCfg-1
Services-1/X_Nokia_BSR-1/GsmExtCellList-1,com.nokia.aiosc:GsmExtCellList,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/GsmExtCellList-1
Services-1/X_Nokia_BSR-1/GsmNatLocLockFrequency-1,com.nokia.aiosc:GsmNatLocLockFrequency,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/GsmNatLocLockFrequency-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPF1U-1,com.nokia.aiosc:EPF1U,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPF1U-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1,com.nokia.aiosc:ExternalENBFunction,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1,com.nokia.aiosc:ExternalEUtranCell,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/FDD-1,com.nokia.aiosc:FDD,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/FDD-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/PlmnList-1,com.nokia.aiosc:PlmnList,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/PlmnList-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/TDD-1,com.nokia.aiosc:TDD,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/TDD-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1,com.nokia.aiosc:ExternalGNBCUFunction,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1,com.nokia.aiosc:ExternalNRCellCU,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRDL-1,com.nokia.aiosc:NRDL,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRDL-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRDL-1/NumFreqBands-1,com.nokia.aiosc:NumFreqBands,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRDL-1/NumFreqBands-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRUL-1,com.nokia.aiosc:NRUL,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRUL-1
Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRUL-1/NumFreqBandsUl-1,com.nokia.aiosc:NumFreqBandsUl,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1/NRUL-1/NumFreqBandsUl-1
Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/CarrierAggregation-1,com.nokia.aiosc:CarrierAggregation,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/CarrierAggregation-1
Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/NsSysCfg-1,com.nokia.aiosc:NsSysCfg,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/NsSysCfg-1
Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/NsSysCfg-1/CoreList-1,com.nokia.aiosc:CoreList,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/NsSysCfg-1/CoreList-1
Services-1/X_Nokia_BSR-1/LteExtCellList-1,com.nokia.aiosc:LteExtCellList,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/LteExtCellList-1
Services-1/X_Nokia_BSR-1/LteNatLocLockFrequency-1,com.nokia.aiosc:LteNatLocLockFrequency,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/LteNatLocLockFrequency-1
Services-1/X_Nokia_BSR-1/NRCBRSPR-1/ChannelSpacing-1,com.nokia.aiosc:ChannelSpacing,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBRSPR-1/ChannelSpacing-1
Services-1/X_Nokia_BSR-1/NRCBRSPR-1/DesiredTddFrameStructure-1,com.nokia.aiosc:DesiredTddFrameStructure,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBRSPR-1/DesiredTddFrameStructure-1
Services-1/X_Nokia_BSR-1/NRCBSD-1,com.nokia.aiosc:NRCBSD,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBSD-1
Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1,com.nokia.aiosc:NRCBSDCELL,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1
Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1/ConfigSetForVariChBw-1,com.nokia.aiosc:ConfigSetForVariChBw,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1/ConfigSetForVariChBw-1
Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1/PwrPreference-1,com.nokia.aiosc:PwrPreference,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/NRCBSD-1/NRCBSDCELL-1/PwrPreference-1
Services-1/X_Nokia_BSR-1/OnePPSConfig-1,com.nokia.aiosc:OnePPSConfig,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/OnePPSConfig-1
Services-1/X_Nokia_BSR-1/RFTrace-1,com.nokia.aiosc:RFTrace,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/RFTrace-1
Services-1/X_Nokia_BSR-1/WiFiConfig-1,com.nokia.aiosc:WiFiConfig,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/WiFiConfig-1
Services-1/X_Nokia_BSR-1/WiFiConfig-1/BSSID-1,com.nokia.aiosc:BSSID,PLMN-PLMN/AIOSC-1/Device-1/Services-1/X_Nokia_BSR-1/WiFiConfig-1/BSSID-1

Deprecated Objects
Key,Class,DistName
FaultMgmt-1/SupportedAlarm-2,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-2
FaultMgmt-1/SupportedAlarm-3,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-3
FaultMgmt-1/SupportedAlarm-4,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-4
FaultMgmt-1/SupportedAlarm-5,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-5
FaultMgmt-1/SupportedAlarm-6,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-6
FaultMgmt-1/SupportedAlarm-7,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-7
FaultMgmt-1/SupportedAlarm-8,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-8
FaultMgmt-1/SupportedAlarm-9,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-9
FaultMgmt-1/SupportedAlarm-10,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-10
FaultMgmt-1/SupportedAlarm-11,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-11
